courseid,coursetitle,durationinseconds,releasedate,description,assessmentstatus,iscourseretired,course-author,tag
abts-advanced-topics,BizTalk 2006 Business Process Management,22198,2008-10-25T00:00:00Z,"This course covers Business Process Management features in BizTalk Server 2006, including web services, BAM, hosting, and BTS 2009 features",Live,no,Matt Milner,windows-azure web-services biztalk appfabric microsoft distributed-systems developer windows-azure web-services biztalk appfabric microsoft distributed-systems developer
abts-fundamentals,BizTalk 2006 Fundamentals,24305,2008-06-01T00:00:00Z,"Despite the trend towards service-oriented architectures, most organizations do not have the luxury of moving all of their investments in that direction at once. The fact is most will have to deal with legacy applications for some time to come. And to complicate matters further, typical business processes transcend multiple heterogeneous applications making them difficult to automate. In this course we look at how to use BizTalk Server (BTS) to bridge such integration gaps and simplify business process automation. By combining the connectivity provided by its messaging engine with the productivity provided by its orchestration engine, BizTalk Server can help you tackle tough business process scenarios in your connected systems today.",Live,no,Matt Milner,web-services biztalk microsoft distributed-systems developer web-services biztalk microsoft distributed-systems developer
access-2007-advanced-features,Access 2007 Part 4: Advanced Features,21490,2008-06-03T00:00:00Z,"Part 4 of 5 in the Access 2007 series. If you are tasked with building a new database, fixing your company's Access database, or just wish to ditch the bulky Excel spreadsheet, this is the course for you. This course will teach you to track and report data more efficiently by walking you through the database design process, teaching you how to build tables and forms to enter data, and how to design queries and reports to retrieve and view data. No experience with Access or database design is necessary; however, experience with Microsoft Office applications and data entry is helpful.",None,no,Heather Ackmann,microsoft-office end-user access trainsignal microsoft access-2007 microsoft-office end-user access trainsignal microsoft access-2007
access-2007-getting-started,Access 2007 Part 1: Getting Started,9838,2008-06-03T00:00:00Z,"Part 1 of 5 in the Access 2007 series. If you are tasked with building a new database, fixing your company's Access database, or just wish to ditch the bulky Excel spreadsheet, this is the course for you. This course will teach you to track and report data more efficiently by walking you through the database design process, teaching you how to build tables and forms to enter data, and how to design queries and reports to retrieve and view data. No experience with Access or database design is necessary; however, experience with Microsoft Office applications and data entry is helpful.",None,no,Heather Ackmann,microsoft-office end-user access trainsignal microsoft access-2007 microsoft-office end-user access trainsignal microsoft access-2007
access-2007-queries,Access 2007 Part 3: Queries,18866,2008-06-03T00:00:00Z,"Part 3 of 5 in the Access 2007 series. If you are tasked with building a new database, fixing your company's Access database, or just wish to ditch the bulky Excel spreadsheet, this is the course for you. This course will teach you to track and report data more efficiently by walking you through the database design process, teaching you how to build tables and forms to enter data, and how to design queries and reports to retrieve and view data. No experience with Access or database design is necessary; however, experience with Microsoft Office applications and data entry is helpful.",None,no,Heather Ackmann,microsoft-office end-user access trainsignal microsoft access-2007 microsoft-office end-user access trainsignal microsoft access-2007
access-2007-tables-relationships,Access 2007 Part 2: Tables and Relationships,14828,2008-06-03T00:00:00Z,"Part 2 of 5 in the Access 2007 series. If you are tasked with building a new database, fixing your company's Access database, or just wish to ditch the bulky Excel spreadsheet, this is the course for you. This course will teach you to track and report data more efficiently by walking you through the database design process, teaching you how to build tables and forms to enter data, and how to design queries and reports to retrieve and view data. No experience with Access or database design is necessary; however, experience with Microsoft Office applications and data entry is helpful.",None,no,Heather Ackmann,microsoft-office end-user access trainsignal microsoft access-2007 microsoft-office end-user access trainsignal microsoft access-2007
access-2007-tools,Access 2007 Part 5: Tools for Maintaining Access 2007 Databases,10388,2008-06-03T00:00:00Z,"Part 5 of 5 in the Access 2007 series. If you are tasked with building a new database, fixing your company's Access database, or just wish to ditch the bulky Excel spreadsheet, this is the course for you. This course will teach you to track and report data more efficiently by walking you through the database design process, teaching you how to build tables and forms to enter data, and how to design queries and reports to retrieve and view data. No experience with Access or database design is necessary; however, experience with Microsoft Office applications and data entry is helpful.",None,no,Heather Ackmann,microsoft-office end-user access trainsignal microsoft access-2007 microsoft-office end-user access trainsignal microsoft access-2007
access-2010-getting-started,Access 2010: Getting Started,13716,2010-11-02T00:00:00Z,"Part 1 of 3 in the Access 2010 series. If you are using a database that someone has already built and wish to modify or build your own queries, reports, PivotTables, PivotCharts, and calculated expressions, this course is a good starting point. This course is designed with novice Access users in mind, but serves as a quick reference for more experienced Access users.",None,no,Heather Ackmann,access-2010 microsoft-office end-user access trainsignal microsoft access-2010 microsoft-office end-user access trainsignal microsoft
access-2010-pivottables-pivot-charts,"Access 2010: PivotTables, Pivot Charts and Reporting",9390,2010-11-02T00:00:00Z,"Part 3 of 3 in the Access 2010 series. If you are using a database that someone has already built and wish to modify or build your own queries, reports, PivotTables, PivotCharts, and calculated expressions, this course is a good starting point. This course is designed with novice Access users in mind, but serves as a quick reference for more experienced Access users.",None,no,Heather Ackmann,access-2010 microsoft-office end-user access trainsignal microsoft access-2010 microsoft-office end-user access trainsignal microsoft
access-2010-queries-functions,Access 2010: Queries and Functions,18342,2010-11-10T00:00:00Z,"Part 2 of 3 in the Access 2010 series. If you are using a database that someone has already built and wish to modify or build your own queries, reports, PivotTables, PivotCharts, and calculated expressions, this course is a good starting point. This course is designed with novice Access users in mind, but serves as a quick reference for more experienced Access users.",None,no,Heather Ackmann,access-2010 microsoft-office end-user access trainsignal microsoft access-2010 microsoft-office end-user access trainsignal microsoft
